CountryID,Country,Occurrence,Total deaths,Persons affected,Continent,Type of disaster,Decade
50,Bangladesh,2,29,15400,Asia,Geophysical,1990-1999
52,Barbados,,,,North America,Geophysical,1990-1999
112,Belarus,,,,Europe,Geophysical,1990-1999
56,Belgium,1,0,0,Europe,Geophysical,1990-1999
64,Bhutan,,,,Asia,Geophysical,1990-1999
68,Bolivia,2,100,18050,South America,Geophysical,1990-1999
76,Brazil,,,,South America,Geophysical,1990-1999
100,Bulgaria,1,1,0,Europe,Geophysical,1990-1999
108,Burundi,,,,Africa,Geophysical,1990-1999
132,Cabo Verde,1,0,6306,Africa,Geophysical,1990-1999
120,Cameroon,1,0,3010,Africa,Geophysical,1990-1999
152,Chile,4,17,118481,South America,Geophysical,1990-1999
156,China,34,762,11851924,Asia,Geophysical,1990-1999
170,Colombia,10,1612,1269540,South America,Geophysical,1990-1999
174,Comoros,1,0,200,Africa,Geophysical,1990-1999
188,Costa Rica,8,51,25868,North America,Geophysical,1990-1999
191,Croatia,1,0,2000,Europe,Geophysical,1990-1999
192,Cuba,1,0,5869,North America,Geophysical,1990-1999
196,Cyprus,1,2,1865,Asia,Geophysical,1990-1999
203,Czech Republic,,,,Europe,Geophysical,1990-1999
180,Democratic Republic of the Congo,1,9,311,Africa,Geophysical,1990-1999
212,Dominica,,,,North America,Geophysical,1990-1999
214,Dominican Republic,,,,North America,Geophysical,1990-1999
218,Ecuador,6,37,64345,South America,Geophysical,1990-1999
818,Egypt,3,596,93018,Africa,Geophysical,1990-1999
222,El Salvador,,,,North America,Geophysical,1990-1999
231,Ethiopia,1,13,0,Africa,Geophysical,1990-1999
242,Fiji,2,0,0,Oceania,Geophysical,1990-1999
246,Finland,,,,Europe,Geophysical,1990-1999
250,France,,,,Europe,Geophysical,1990-1999
254,French Guiana,,,,South America,Geophysical,1990-1999
266,Gabon,,,,Africa,Geophysical,1990-1999
268,Georgia,2,9,3750,Asia,Geophysical,1990-1999
276,Germany,1,1,1525,Europe,Geophysical,1990-1999
300,Greece,8,197,147781,Europe,Geophysical,1990-1999
312,Guadeloupe,,,,North America,Geophysical,1990-1999
316,Guam,1,0,71,Oceania,Geophysical,1990-1999
320,Guatemala,6,39,30513,North America,Geophysical,1990-1999
332,Haiti,,,,North America,Geophysical,1990-1999
340,Honduras,,,,North America,Geophysical,1990-1999
348,Hungary,,,,Europe,Geophysical,1990-1999
352,Iceland,1,0,0,Europe,Geophysical,1990-1999
356,India,5,11391,719302,Asia,Geophysical,1990-1999
360,Indonesia,30,3454,579442,Asia,Geophysical,1990-1999
364,Iran,20,42875,999174,Asia,Geophysical,1990-1999
368,Iraq,1,20,500,Asia,Geophysical,1990-1999
372,Ireland,,,,Europe,Geophysical,1990-1999
380,Italy,5,35,48721,Europe,Geophysical,1990-1999
392,Japan,10,5589,617831,Asia,Geophysical,1990-1999
398,Kazakhstan,,,,Asia,Geophysical,1990-1999
404,Kenya,1,0,0,Africa,Geophysical,1990-1999
417,Kyrgyzstan,3,58,138036,Asia,Geophysical,1990-1999
454,Malawi,,,,Africa,Geophysical,1990-1999
458,Malaysia,1,72,0,Asia,Geophysical,1990-1999
462,Maldives,,,,Asia,Geophysical,1990-1999
474,Martinique,,,,North America,Geophysical,1990-1999
484,Mexico,14,131,299158,North America,Geophysical,1990-1999
500,Montserrat,3,32,13000,North America,Geophysical,1990-1999
504,Morocco,,,,Africa,Geophysical,1990-1999
508,Mozambique,,,,Africa,Geophysical,1990-1999
104,Myanmar,2,0,160,Asia,Geophysical,1990-1999
524,Nepal,1,0,285,Asia,Geophysical,1990-1999
528,Netherlands,1,0,20,Europe,Geophysical,1990-1999
554,New Zealand,1,0,70,Oceania,Geophysical,1990-1999
558,Nicaragua,7,180,324187,North America,Geophysical,1990-1999
807,North Macedonia,,,,Europe,Geophysical,1990-1999
580,Northern Mariana Islands,,,,Oceania,Geophysical,1990-1999
578,Norway,,,,Europe,Geophysical,1990-1999
512,Oman,,,,Asia,Geophysical,1990-1999
586,Pakistan,8,413,217901,Asia,Geophysical,1990-1999
591,Panama,2,30,20096,North America,Geophysical,1990-1999
598,Papua New Guinea,7,2244,183898,Oceania,Geophysical,1990-1999
604,Peru,9,292,237082,South America,Geophysical,1990-1999
608,Philippines,13,3223,3114298,Asia,Geophysical,1990-1999
642,Romania,3,9,6550,Europe,Geophysical,1990-1999
643,Russia,4,2001,14352,Europe,Geophysical,1990-1999
646,Rwanda,,,,Africa,Geophysical,1990-1999
662,Saint Lucia,,,,North America,Geophysical,1990-1999
882,Samoa,,,,Oceania,Geophysical,1990-1999
682,Saudi Arabia,,,,Asia,Geophysical,1990-1999
688,Serbia,,,,Europe,Geophysical,1990-1999
690,Seychelles,,,,Africa,Geophysical,1990-1999
705,Slovenia,1,0,700,Europe,Geophysical,1990-1999
90,Solomon Islands,,,,Oceania,Geophysical,1990-1999
706,Somalia,,,,Africa,Geophysical,1990-1999
710,South Africa,2,25,52,Africa,Geophysical,1990-1999
410,South Korea,,,,Asia,Geophysical,1990-1999
724,Spain,1,0,20,Europe,Geophysical,1990-1999
144,Sri Lanka,,,,Asia,Geophysical,1990-1999
729,Sudan,2,3,8015,Africa,Geophysical,1990-1999
740,Suriname,,,,South America,Geophysical,1990-1999
756,Switzerland,,,,Europe,Geophysical,1990-1999
762,Tajikistan,1,12,0,Asia,Geophysical,1990-1999
834,Tanzania,,,,Africa,Geophysical,1990-1999
764,Thailand,1,0,0,Asia,Geophysical,1990-1999
626,Timor-Leste,,,,Asia,Geophysical,1990-1999
776,Tonga,,,,Oceania,Geophysical,1990-1999
780,Trinidad and Tobago,2,0,217,North America,Geophysical,1990-1999
792,Turkey,13,19137,3712263,Europe,Geophysical,1990-1999
795,Turkmenistan,,,,Asia,Geophysical,1990-1999
800,Uganda,3,7,50000,Africa,Geophysical,1990-1999
826,UK,1,0,0,Europe,Geophysical,1990-1999
784,United Arab Emirates,,,,Asia,Geophysical,1990-1999
840,USA,9,65,30901,North America,Geophysical,1990-1999
860,Uzbekistan,2,10,50400,Asia,Geophysical,1990-1999
548,Vanuatu,6,112,14102,Oceania,Geophysical,1990-1999
862,Venezuela,1,80,4183,South America,Geophysical,1990-1999
876,Wallis and Futuna,1,5,20,Oceania,Geophysical,1990-1999
887,Yemen,1,10,40039,Asia,Geophysical,1990-1999
887,Yemen,,,,Asia,Geophysical,1990-1999
4,Afghanistan,17,2729,183479,Asia,Hydrological,1990-1999
8,Albania,4,15,46500,Europe,Hydrological,1990-1999
12,Algeria,8,118,37973,Africa,Hydrological,1990-1999
16,American Samoa,,,,Oceania,Hydrological,1990-1999
24,Angola,,,,Africa,Hydrological,1990-1999
32,Argentina,10,85,465074,South America,Hydrological,1990-1999
51,Armenia,2,4,7144,Asia,Hydrological,1990-1999
36,Australia,14,66,55432,Oceania,Hydrological,1990-1999
40,Austria,6,63,10000,Europe,Hydrological,1990-1999
31,Azerbaijan,4,16,1733800,Asia,Hydrological,1990-1999
44,Bahamas,,,,North America,Hydrological,1990-1999
50,Bangladesh,28,2944,58165663,Asia,Hydrological,1990-1999
112,Belarus,3,2,42000,Europe,Hydrological,1990-1999
56,Belgium,4,1,875,Europe,Hydrological,1990-1999
84,Belize,2,0,2600,North America,Hydrological,1990-1999
204,Benin,7,37,834196,Africa,Hydrological,1990-1999
64,Bhutan,1,22,600,Asia,Hydrological,1990-1999
68,Bolivia,9,209,397273,South America,Hydrological,1990-1999
70,Bosnia and Herzegovina,,,,Europe,Hydrological,1990-1999
72,Botswana,1,20,5500,Africa,Hydrological,1990-1999
76,Brazil,28,764,327567,South America,Hydrological,1990-1999
100,Bulgaria,1,0,200,Europe,Hydrological,1990-1999
854,Burkina Faso,2,28,68060,Africa,Hydrological,1990-1999
108,Burundi,,,,Africa,Hydrological,1990-1999
132,Cabo Verde,,,,Africa,Hydrological,1990-1999
116,Cambodia,5,672,2889379,Asia,Hydrological,1990-1999
120,Cameroon,3,32,1200,Africa,Hydrological,1990-1999
124,Canada,6,25,49900,North America,Hydrological,1990-1999
140,Central African Republic,5,7,76533,Africa,Hydrological,1990-1999
148,Chad,4,41,255206,Africa,Hydrological,1990-1999
152,Chile,5,300,165387,South America,Hydrological,1990-1999
156,China,58,19173,1003620234,Asia,Hydrological,1990-1999
170,Colombia,25,532,556175,South America,Hydrological,1990-1999
174,Comoros,,,,Africa,Hydrological,1990-1999
188,Costa Rica,5,27,256021,North America,Hydrological,1990-1999
384,Côte d’Ivoire,1,28,0,Africa,Hydrological,1990-1999
191,Croatia,,,,Europe,Hydrological,1990-1999
192,Cuba,10,65,709773,North America,Hydrological,1990-1999
203,Czech Republic,3,36,102167,Europe,Hydrological,1990-1999
180,Democratic Republic of the Congo,4,64,141056,Africa,Hydrological,1990-1999
262,Djibouti,2,145,140000,Africa,Hydrological,1990-1999
214,Dominican Republic,4,43,21000,North America,Hydrological,1990-1999
218,Ecuador,6,727,329072,South America,Hydrological,1990-1999
818,Egypt,5,624,164128,Africa,Hydrological,1990-1999
222,El Salvador,4,39,14950,North America,Hydrological,1990-1999
232,Eritrea,,,,Africa,Hydrological,1990-1999
748,Eswatini,,,,Africa,Hydrological,1990-1999
231,Ethiopia,16,469,848995,Africa,Hydrological,1990-1999
242,Fiji,,,,Oceania,Hydrological,1990-1999
246,Finland,,,,Europe,Hydrological,1990-1999
250,France,13,94,6176,Europe,Hydrological,1990-1999
254,French Guiana,1,0,70000,South America,Hydrological,1990-1999
258,French Polynesia,2,13,511,Oceania,Hydrological,1990-1999
266,Gabon,,,,Africa,Hydrological,1990-1999
270,Gambia,2,53,36000,Africa,Hydrological,1990-1999
268,Georgia,4,8,800,Asia,Hydrological,1990-1999
276,Germany,7,19,205200,Europe,Hydrological,1990-1999
288,Ghana,3,202,3024602,Africa,Hydrological,1990-1999
300,Greece,3,26,1900,Europe,Hydrological,1990-1999
320,Guatemala,4,104,14066,North America,Hydrological,1990-1999
324,Guinea,1,0,6066,Africa,Hydrological,1990-1999
624,Guinea-Bissau,,,,Africa,Hydrological,1990-1999
328,Guyana,1,0,38000,South America,Hydrological,1990-1999
332,Haiti,4,44,5090,North America,Hydrological,1990-1999
340,Honduras,8,624,748948,North America,Hydrological,1990-1999
344,Hong Kong,4,87,5710,Asia,Hydrological,1990-1999
348,Hungary,4,8,133695,Europe,Hydrological,1990-1999
352,Iceland,2,34,83,Europe,Hydrological,1990-1999
356,India,58,14454,280725576,Asia,Hydrological,1990-1999
360,Indonesia,30,1013,2360554,Asia,Hydrological,1990-1999
364,Iran,30,1319,937417,Asia,Hydrological,1990-1999
368,Iraq,,,,Asia,Hydrological,1990-1999
372,Ireland,1,3,3500,Europe,Hydrological,1990-1999
376,Israel,2,15,1000,Asia,Hydrological,1990-1999
380,Italy,8,248,22582,Europe,Hydrological,1990-1999
388,Jamaica,2,24,555712,North America,Hydrological,1990-1999
392,Japan,11,221,65778,Asia,Hydrological,1990-1999
400,Jordan,2,10,18000,Asia,Hydrological,1990-1999
398,Kazakhstan,1,10,30000,Asia,Hydrological,1990-1999
404,Kenya,4,170,901200,Africa,Hydrological,1990-1999
296,Kiribati,,,,Oceania,Hydrological,1990-1999
414,Kuwait,1,2,200,Asia,Hydrological,1990-1999
417,Kyrgyzstan,3,163,66228,Asia,Hydrological,1990-1999
418,Laos,6,40,1533550,Asia,Hydrological,1990-1999
422,Lebanon,,,,Asia,Hydrological,1990-1999
426,Lesotho,1,22,0,Africa,Hydrological,1990-1999
430,Liberia,1,10,5000,Africa,Hydrological,1990-1999
